nome,date,start,end,citta,provincia
Festa dell’uva,26 Settembre 2025 - 27 Settembre 2025,2025-09-26,2025-09-27,Fonzaso,BL
Mostra regionale della mela,26 Settembre 2025 - 05 Ottobre 2025,2025-09-26,2025-10-05,Pantianicco,UD
Festa dell’Uva e del Recioto,26 Settembre 2025 - 29 Settembre 2025,2025-09-26,2025-09-29,Gambellara,VI
Sagra della nocciola,26 Settembre 2025 - 28 Settembre 2025,2025-09-26,2025-09-28,Prepezzano,CS
Festa dell’uva e del vino,26 Settembre 2025 - 28 Settembre 2025,2025-09-26,2025-09-28,Chiusi,SI
La macenata,26 Settembre 2025 - 04 Ottobre 2025,2025-09-26,2025-10-04,Paternopoli,AV
Lignano Tuna Festival,26 Settembre 2025 - 05 Ottobre 2025,2025-09-26,2025-10-05,Lignano Sabbiadoro,UD
Festa del bisonte con polenta,26 Settembre 2025 - 05 Ottobre 2025,2025-09-26,2025-10-05,Ronchis,UD
Sagra dell’uva di San Cesareo,26 Settembre 2025 - 28 Settembre 2025,2025-09-26,2025-09-28,San Cesareo,RM
Sagra del Gorgonzola,26 Settembre 2025 - 05 Ottobre 2025,2025-09-26,2025-10-05,Caronno Pertusella,VA
La Zucca delle Meraviglie,26 Settembre 2025 - 28 Settembre 2025,2025-09-26,2025-09-28,Piea,AT
Du blé au pain,27 Settembre 2025 - 28 Settembre 2025,2025-09-27,2025-09-28,La Magdeleine,AO
Sagra della bruschetta e dell’olio novo,27 Settembre 2025 - 28 Settembre 2025,2025-09-27,2025-09-28,Montegiovi,GR
Sagra dell’anguilla,27 Settembre 2025 - 12 Ottobre 2025,2025-09-27,2025-10-12,Comacchio,FE
Sagra dell’uva,27 Settembre 2025 - 05 Ottobre 2025,2025-09-27,2025-10-05,Marino,RM
Festa della polenta,27 Settembre 2025 - 28 Settembre 2025,2025-09-27,2025-09-28,Soragna,PR
Sagra della patata,27 Settembre 2025 - 28 Settembre 2025,2025-09-27,2025-09-28,Villabassa,BZ
Sagra dello zafferano,27 Settembre 2025 - 28 Settembre 2025,2025-09-27,2025-09-28,Valguarnera Caropepe,EN
Sagra dei prodotti tipici ceramesi “Pipi e Cavatieddi”,27 Settembre 2025 - 28 Settembre 2025,2025-09-27,2025-09-28,Cerami,EN
Sagra della polenta,27 Settembre 2025 - 28 Settembre 2025,2025-09-27,2025-09-28,Apiro,MC
Festa della mela,27 Settembre 2025 - 28 Settembre 2025,2025-09-27,2025-09-28,Tolmezzo,UD
Sagra del Fungo Porcino,27 Settembre 2025 - 28 Settembre 2025,2025-09-27,2025-09-28,Bagnara,RC
Autunno in Barbagia,27 Settembre 2025 - 28 Settembre 2025,2025-09-27,2025-09-28,Austis,NU
Festa dello speck Alto Adige,27 Settembre 2025 - 28 Settembre 2025,2025-09-27,2025-09-28,Brunico,BZ
Sagra del Savor,27 Settembre 2025 - 28 Settembre 2025,2025-09-27,2025-09-28,Montegelli,AR
Festa della Noce,27 Settembre 2025 - 05 Ottobre 2025,2025-09-27,2025-10-05,Motta Camastra,ME
Sagra della Lepre e del Cinghiale,27 Settembre 2025 - 12 Ottobre 2025,2025-09-27,2025-10-12,Selvatelle,PI
Sagra del Macagn,27 Settembre 2025 - 28 Settembre 2025,2025-09-27,2025-09-28,Crocemosso,VC
Sagra del salame d’oca di Mortara,28 Settembre 2025,2025-09-28,2025-09-28,Mortara,PV
Sagra degli Stigliozzi,28 Settembre 2025,2025-09-28,2025-09-28,Castel di Tora,RI
Sagra del pane,28 Settembre 2025,2025-09-28,2025-09-28,Piobesi Torinese,TO
Sagra della Patata,28 Settembre 2025,2025-09-28,2025-09-28,Magnano,BI
Festa del borgo e sagra del civraxiu,28 Settembre 2025,2025-09-28,2025-09-28,Sanluri,SU
Sagra dell’uva,28 Settembre 2025,2025-09-28,2025-09-28,San Colombano al Lambro,MI
Festa della patata naturale dell’Alto Astico e di Tonezza,28 Settembre 2025 - 26 Ottobre 2025,2025-09-28,2025-10-26,Tonezza del Cimone,VI
Sagra del radicchio,30 Settembre 2025 - 06 Ottobre 2025,2025-09-30,2025-10-06,Bosco Mesola,FE
Festa dell’uva e del vino,02 Ottobre 2025 - 06 Ottobre 2025,2025-10-02,2025-10-06,Bardolino,VR
Festa dell’Uva e Vino Montonico,02 Ottobre 2025 - 05 Ottobre 2025,2025-10-02,2025-10-05,Bisenti,TE
Sagra dell’uva,02 Ottobre 2025 - 05 Ottobre 2025,2025-10-02,2025-10-05,Cupramontana,AN
Sagra del vino romagnolo,02 Ottobre 2025 - 05 Ottobre 2025,2025-10-02,2025-10-05,Cotignola,RA
Festa dell’uva,03 Ottobre 2025 - 05 Ottobre 2025,2025-10-03,2025-10-05,Oliveto Citra,SA
Sagra delle castagne,03 Ottobre 2025 - 19 Ottobre 2025,2025-10-03,2025-10-19,Soriano Nel Cimino,VT
Sagra dei sughitti,03 Ottobre 2025 - 05 Ottobre 2025,2025-10-03,2025-10-05,Montecassiano,MC
Festa del salame,03 Ottobre 2025 - 05 Ottobre 2025,2025-10-03,2025-10-05,Cremona,CR
Sagra della mostarda e del ficodindia,03 Ottobre 2025 - 12 Ottobre 2025,2025-10-03,2025-10-12,Militello In Val di Catania,CT
Elogio della bionda,03 Ottobre 2025 - 05 Ottobre 2025,2025-10-03,2025-10-05,Villanova d'Asti,AT
Sagra della castagna e del fungo,03 Ottobre 2025 - 05 Ottobre 2025,2025-10-03,2025-10-05,Rossana,CN
Festa del riso,03 Ottobre 2025 - 05 Ottobre 2025,2025-10-03,2025-10-05,Carpiano,MI
Festa del fungo e dei sapori tipici,03 Ottobre 2025 - 12 Ottobre 2025,2025-10-03,2025-10-12,Cona,VE
Sagra dei Fichi Secchi,03 Ottobre 2025 - 05 Ottobre 2025,2025-10-03,2025-10-05,Miglionico,MT
Festa della lumaca d’autunno,03 Ottobre 2025 - 12 Ottobre 2025,2025-10-03,2025-10-12,Casumaro,FE
Festa dei funghi Pioppini,03 Ottobre 2025 - 06 Ottobre 2025,2025-10-03,2025-10-06,Costozza,VI
La giornata della castagna,03 Ottobre 2025 - 01 Novembre 2025,2025-10-03,2025-11-01,Canepina,VT
Mostra Mercato del Tartufo,03 Ottobre 2025 - 05 Ottobre 2025,2025-10-03,2025-10-05,Apecchio,PU
Sagra della Castagna,03 Ottobre 2025 - 05 Ottobre 2025,2025-10-03,2025-10-05,Salza Irpina,AV
Fiera della zucca di Piozzo,03 Ottobre 2025 - 05 Ottobre 2025,2025-10-03,2025-10-05,Piozzo,CN
Festa della Castagna,03 Ottobre 2025 - 19 Ottobre 2025,2025-10-03,2025-10-19,Colmaggiore,PD
Sagra dell’uva cesanese del Piglio,03 Ottobre 2025 - 05 Ottobre 2025,2025-10-03,2025-10-05,Piglio,FR
Sagra di Vallio dell’oca,03 Ottobre 2025 - 18 Ottobre 2025,2025-10-03,2025-10-18,Meolo,VE
Sagra delle tacchie ai funghi porcini,03 Ottobre 2025 - 12 Ottobre 2025,2025-10-03,2025-10-12,Bellegra,RM
Sagra dei bigoli co’l’arna,03 Ottobre 2025 - 05 Ottobre 2025,2025-10-03,2025-10-05,Zanè,VI
Mast Còt fiera dell’aceto balsamico tradizionale,04 Ottobre 2025 - 05 Ottobre 2025,2025-10-04,2025-10-05,Spilamberto,MO
Sagra dell’uva,04 Ottobre 2025 - 05 Ottobre 2025,2025-10-04,2025-10-05,Rutigliano,BA
Sagra della castagna IGP e del fungo porcino,04 Ottobre 2025 - 02 Novembre 2025,2025-10-04,2025-11-02,Roccamonfina,CE
Tumact me Tulez – Festival dell’Aglianico e dei Prodotti Tipici,04 Ottobre 2025 - 05 Ottobre 2025,2025-10-04,2025-10-05,Barile,PZ
Sagra del porcino e della Chianina,04 Ottobre 2025 - 02 Novembre 2025,2025-10-04,2025-11-02,Castelfranco di Sotto,PI
"Sagra del Torcetto, Grissino e Toma di Lanzo",04 Ottobre 2025 - 05 Ottobre 2025,2025-10-04,2025-10-05,Lanzo Torinese,TO
Sagra del fungo,04 Ottobre 2025 - 05 Ottobre 2025,2025-10-04,2025-10-05,Cossano Canavese,TO
Mostra dei funghi,04 Ottobre 2025 - 19 Ottobre 2025,2025-10-04,2025-10-19,San Vito,SU
Gut Longa,04 Ottobre 2025 - 05 Ottobre 2025,2025-10-04,2025-10-05,Carpaneto Piacentino,PC
La Transumanza di Pont Canavese,04 Ottobre 2025 - 05 Ottobre 2025,2025-10-04,2025-10-05,Pont Canavese,TO
Sagra della pesca di Leonforte IGP e dei prodotti tipici,04 Ottobre 2025 - 05 Ottobre 2025,2025-10-04,2025-10-05,Leonforte,EN
Sagra della Patata,04 Ottobre 2025 - 05 Ottobre 2025,2025-10-04,2025-10-05,Rovegno,GE
"Festa della nocciola, salsicce e arancini alla nocciola",04 Ottobre 2025 - 05 Ottobre 2025,2025-10-04,2025-10-05,Badiavecchia,BN
Festa del Castagno,04 Ottobre 2025 - 26 Ottobre 2025,2025-10-04,2025-10-26,Trecastagni,CT
Sagra della Stesa,04 Ottobre 2025 - 05 Ottobre 2025,2025-10-04,2025-10-05,Strangolagalli,FR
Sagra dell’Uva Cari,04 Ottobre 2025 - 05 Ottobre 2025,2025-10-04,2025-10-05,Baldissero Torinese,TO
Fiera Nazionale della Trippa di Moncalieri,04 Ottobre 2025 - 05 Ottobre 2025,2025-10-04,2025-10-05,Moncalieri,TO
Sagra pasta e fagioli,04 Ottobre 2025,2025-10-04,2025-10-04,Pisoniano,RM
Vendemmiale Capena,04 Ottobre 2025 - 05 Ottobre 2025,2025-10-04,2025-10-05,Capena,RM
Festa dea Suca,04 Ottobre 2025 - 05 Ottobre 2025,2025-10-04,2025-10-05,Cittadella,PD
Sagra della castagna,04 Ottobre 2025 - 26 Ottobre 2025,2025-10-04,2025-10-26,Mezzomonte,PT
Sagra del Mandorlo,04 Ottobre 2025 - 05 Ottobre 2025,2025-10-04,2025-10-05,Sant'Andrea Frius,SU
Sagra della patata,04 Ottobre 2025,2025-10-04,2025-10-04,Monno,BS
Gnoche ‘n festa,04 Ottobre 2025 - 05 Ottobre 2025,2025-10-04,2025-10-05,Auronzo di Cadore,BL
Festa delle castagne e dei ricordi,04 Ottobre 2025 - 05 Ottobre 2025,2025-10-04,2025-10-05,Castell'Arquato,PC
Sagra della mondina e del quartuccio fritto,04 Ottobre 2025 - 19 Ottobre 2025,2025-10-04,2025-10-19,Bargecchia,LU
Fita di pomme,05 Ottobre 2025,2025-10-05,2025-10-05,Gressan,AO
Ottobrata zafferanese – mostra mercato,05 Ottobre 2025 - 26 Ottobre 2025,2025-10-05,2025-10-26,Zafferana Etnea,CT
Sagra della castagna e del marrone tipico,05 Ottobre 2025 - 26 Ottobre 2025,2025-10-05,2025-10-26,Zocca,MO
Antichi sapori,05 Ottobre 2025 - 12 Ottobre 2025,2025-10-05,2025-10-12,Cessapalombo,MC
Autunno contadino,05 Ottobre 2025,2025-10-05,2025-10-05,Molina,TN
Cinghiale e castagna,05 Ottobre 2025 - 26 Ottobre 2025,2025-10-05,2025-10-26,Montefiore Conca,RN
Sagra del marrone e dei frutti del sottobosco,05 Ottobre 2025 - 26 Ottobre 2025,2025-10-05,2025-10-26,Palazzuolo Sul Senio,FI
Festa dell’uva,05 Ottobre 2025,2025-10-05,2025-10-05,Savorgnano,UD
Sagra del Fungo,05 Ottobre 2025,2025-10-05,2025-10-05,San Pietro Val Lemina,TO
Festa della Zucca,05 Ottobre 2025 - 19 Ottobre 2025,2025-10-05,2025-10-19,Gavirate,VA
Sagra del Marrone,05 Ottobre 2025 - 26 Ottobre 2025,2025-10-05,2025-10-26,Castel del Rio,BO
Sagra delle Frugiate,05 Ottobre 2025 - 19 Ottobre 2025,2025-10-05,2025-10-19,Vellano,PT
Sagra dell’Acquaticcio,05 Ottobre 2025,2025-10-05,2025-10-05,Colleluce,MC
Festa della pizza chiena satrianese,05 Ottobre 2025,2025-10-05,2025-10-05,Satriano di Lucania,PZ
Fiera Nazionale del tartufo bianco pregiato di Pergola,05 Ottobre 2025 - 19 Ottobre 2025,2025-10-05,2025-10-19,Pergola,PU
Ottobre a Caldana,05 Ottobre 2025 - 26 Ottobre 2025,2025-10-05,2025-10-26,Caldana,GR
Dì de la brisaola,05 Ottobre 2025,2025-10-05,2025-10-05,Chiavenna,SO
Festa del Radicchio di Bieno,05 Ottobre 2025,2025-10-05,2025-10-05,Bieno,TN
Festa delle Giuggiole,05 Ottobre 2025 - 12 Ottobre 2025,2025-10-05,2025-10-12,Arquà Petrarca,PD
Festa dei cavoli nostri,05 Ottobre 2025,2025-10-05,2025-10-05,Collina,AL
Sagra della patata,05 Ottobre 2025 - 12 Ottobre 2025,2025-10-05,2025-10-12,Piandelagotti,MO
Festa dell’uva e dei fiori,09 Ottobre 2025 - 12 Ottobre 2025,2025-10-09,2025-10-12,Foresto Sparso,BG
Festa dell’uva,09 Ottobre 2025 - 12 Ottobre 2025,2025-10-09,2025-10-12,Arcevia,AN
Sagra della Bagna cauda,09 Ottobre 2025 - 12 Ottobre 2025,2025-10-09,2025-10-12,Volpiano,TO
Mostra mercato nazionale del tartufo e dei prodotti tipici locali,09 Ottobre 2025 - 12 Ottobre 2025,2025-10-09,2025-10-12,Colliano,SA
Sagra dei Panocini,09 Ottobre 2025 - 14 Ottobre 2025,2025-10-09,2025-10-14,Legnago,VR
Sagra del pistacchio verde di Bronte DOP,10 Ottobre 2025 - 19 Ottobre 2025,2025-10-10,2025-10-19,Bronte,CT
Sagra della mela e dell’uva,10 Ottobre 2025 - 12 Ottobre 2025,2025-10-10,2025-10-12,Villa di Tirano,SO
Festival Internazionale “Mortadella please”,10 Ottobre 2025 - 12 Ottobre 2025,2025-10-10,2025-10-12,Zola Predosa,BO
Sagra della patata,10 Ottobre 2025 - 12 Ottobre 2025,2025-10-10,2025-10-12,Leonessa,RI
Sagra della castagna di Serino IGP,10 Ottobre 2025 - 12 Ottobre 2025,2025-10-10,2025-10-12,Serino,AV
Mostra mercato del tartufo bianco e della patata,10 Ottobre 2025 - 19 Ottobre 2025,2025-10-10,2025-10-19,Pietralunga,PG
Sagra dell’Uva Italia e sagra delle Pincinelle,10 Ottobre 2025 - 12 Ottobre 2025,2025-10-10,2025-10-12,Colonna,RM
Sagra della Zucca,10 Ottobre 2025 - 12 Ottobre 2025,2025-10-10,2025-10-12,Meugliano,TO
Sagra della mostarda dei fichi d’india,10 Ottobre 2025 - 12 Ottobre 2025,2025-10-10,2025-10-12,Pedagaggi,BN
Sagra della castagna e della nocciola,10 Ottobre 2025 - 19 Ottobre 2025,2025-10-10,2025-10-19,Avella,AV
Festa dei marroni di Combai,10 Ottobre 2025 - 02 Novembre 2025,2025-10-10,2025-11-02,Combai,TV
Sagra del cinghiale e della castagna,10 Ottobre 2025 - 12 Ottobre 2025,2025-10-10,2025-10-12,San Potito Ultra,AV
Sagra della Castagna,10 Ottobre 2025 - 12 Ottobre 2025,2025-10-10,2025-10-12,Montorsaio,GR
Sagra delle olive,10 Ottobre 2025 - 12 Ottobre 2025,2025-10-10,2025-10-12,Sannicandro di Bari,BA
Festa del Miele,10 Ottobre 2025 - 12 Ottobre 2025,2025-10-10,2025-10-12,Belforte all'isauro,PU
Sagre da las masanetes,10 Ottobre 2025 - 19 Ottobre 2025,2025-10-10,2025-10-19,Villaorba,TV
"Sagra del cardo, della bagna cauda e della cipolla piattellina",10 Ottobre 2025 - 12 Ottobre 2025,2025-10-10,2025-10-12,Andezeno,TO
Sagra del ciapinabò,10 Ottobre 2025 - 12 Ottobre 2025,2025-10-10,2025-10-12,Carignano,TO
Mele a mel,10 Ottobre 2025 - 12 Ottobre 2025,2025-10-10,2025-10-12,Mel,BL
Sagra del tartufo di Bondeno,10 Ottobre 2025 - 12 Ottobre 2025,2025-10-10,2025-10-12,Bondeno,FE
Sagra della Salsiccia,10 Ottobre 2025 - 12 Ottobre 2025,2025-10-10,2025-10-12,Montemilone,PZ
Zafarana Fest,10 Ottobre 2025 - 12 Ottobre 2025,2025-10-10,2025-10-12,Tortora,CS
Pomaria festa della mela DOP,11 Ottobre 2025 - 12 Ottobre 2025,2025-10-11,2025-10-12,Denno,TN
Fiera internazionale del tartufo bianco d’Alba,11 Ottobre 2025 - 08 Dicembre 2025,2025-10-11,2025-12-08,Alba,CN
Sagra del fungo Silano,11 Ottobre 2025 - 12 Ottobre 2025,2025-10-11,2025-10-12,Camigliatello Silano,CS
Tovena in festa,11 Ottobre 2025 - 31 Ottobre 2025,2025-10-11,2025-10-31,Tovena,TN
Sagra del crin,11 Ottobre 2025 - 12 Ottobre 2025,2025-10-11,2025-10-12,Lesegno,CN
Sagra della castagna,11 Ottobre 2025 - 26 Ottobre 2025,2025-10-11,2025-10-26,Trecchina,PZ
Marchè au fort,11 Ottobre 2025 - 12 Ottobre 2025,2025-10-11,2025-10-12,Bard,AO
Festa della Castagna,11 Ottobre 2025 - 02 Novembre 2025,2025-10-11,2025-11-02,Vallerano,VT
Sagra del Tartufo,11 Ottobre 2025 - 19 Ottobre 2025,2025-10-11,2025-10-19,Canterano,RM
Sapori d’autunno,11 Ottobre 2025 - 19 Ottobre 2025,2025-10-11,2025-10-19,Costigliole d'Asti,AT
Paletta e dintorni,11 Ottobre 2025 - 12 Ottobre 2025,2025-10-11,2025-10-12,Coggiola,BI
Sagra delle sagne e farre,11 Ottobre 2025 - 12 Ottobre 2025,2025-10-11,2025-10-12,Licenza,RM
Sagra della Castagna,11 Ottobre 2025 - 12 Ottobre 2025,2025-10-11,2025-10-12,Cassano Irpino,AV
Mele vallée – Festa d’autunno,11 Ottobre 2025 - 12 Ottobre 2025,2025-10-11,2025-10-12,Antey-Saint-André,AO
Sagra della zucca bertagnina,11 Ottobre 2025 - 17 Ottobre 2025,2025-10-11,2025-10-17,Dorno,PV
Pomaria,11 Ottobre 2025 - 12 Ottobre 2025,2025-10-11,2025-10-12,Denno,TN
Pomo pero,11 Ottobre 2025 - 12 Ottobre 2025,2025-10-11,2025-10-12,Lusiana Conco,VI
Sagra del fungo amiatino,11 Ottobre 2025 - 19 Ottobre 2025,2025-10-11,2025-10-19,Bagnolo,TN
Festa della mela di Castel del Giudice,11 Ottobre 2025 - 12 Ottobre 2025,2025-10-11,2025-10-12,Castel del Giudice,IS
Parco urbano delle cantine di Rapolla,11 Ottobre 2025 - 12 Ottobre 2025,2025-10-11,2025-10-12,Rapolla,PZ
Sagra del Polentone,12 Ottobre 2025,2025-10-12,2025-10-12,Sant'Angelo in Pontano,MC
Festa del nuovo raccolto,12 Ottobre 2025,2025-10-12,2025-10-12,Arro,SA
Pranzo della rapa bianca,12 Ottobre 2025,2025-10-12,2025-10-12,Caprauna,CN
Festa della castagna,12 Ottobre 2025,2025-10-12,2025-10-12,Molini di Triora,IM
Il mulino e il suo tempo,12 Ottobre 2025 - 19 Ottobre 2025,2025-10-12,2025-10-19,Refrontolo,TV
Festa della castagna,12 Ottobre 2025 - 26 Ottobre 2025,2025-10-12,2025-10-26,Marola,MS
Sagra del fungo e della castagna,12 Ottobre 2025 - 19 Ottobre 2025,2025-10-12,2025-10-19,Vivo D'orcia,SI
